name	average	error	pvalue	z.score	x	name2	nam4
giant	0.07805	0.004565	1.55e-65	-17.1	1800	GIANT	1. GIANT
ukb	0.008957	0.005069	0.07721	1.767	4000	UK Biobank	UK Biobank
