nam1	PC	corr	corse	corr_old	corse_old	num_snps	gbrtsicorr	corse2	pval	nam2
giant	1	0.021144030095908293	0.005644369831261346	0.021134519889421107	0.0011042409848752248	819746	0.0903215256835103	0.004039159565066467	1.7964860108329587e-4	beta~GIANT
giant	2	-0.08198573990549463	0.006204055671100963	-0.08198439330746543	0.0011007695494493627	819746	-0.030172671803674025	0.0042466100348769785	7.201822138253925e-40	beta~GIANT
giant	3	0.02465370821653768	0.005207445226375559	0.024654328560556726	0.0011041519573745612	819746	-0.005387382125110876	0.004031911879845334	2.1979153187853804e-6	beta~GIANT
giant	4	0.04251163534585634	0.0069057882571455015	0.04251122428119336	0.0011034892133435525	819746	0.41935286443089925	0.003994830580464535	7.463230566922176e-10	beta~GIANT
giant	5	-0.011995985161792918	0.0032669879482630786	-0.01199591340214714	0.0011044082102217758	819746	-0.028584138109204075	0.004106965058462222	2.4077347280364612e-4	beta~GIANT
giant	6	-0.016094939019488788	0.004840475987915805	-0.01609615386257294	0.0011043445940302338	819746	-0.05006844441176477	0.004115274008657304	8.83951902976559e-4	beta~GIANT
giant	7	0.00999188674605946	0.005429533221866487	0.009990776753026637	0.001104432558103036	819746	0.019012668325709043	0.0040621035491159585	0.06572645502776885	beta~GIANT
giant	8	-0.015828524580601116	0.005654005108981855	-0.015826858183114193	0.001104349342125915	819746	-0.09861521213735817	0.004114734472316443	0.005117796759281024	beta~GIANT
giant	9	0.021951438543853206	0.005062156245594707	0.021951102613220266	0.0011042215507822287	819746	0.19134055366848313	0.004037493372877159	1.4484773749266223e-5	beta~GIANT
giant	10	-0.003882803264140631	0.00421078552142853	-0.003882984026095621	0.001104479355516316	819746	-0.04281349258108583	0.004090469140045169	0.3564717182541986	beta~GIANT
giant	11	0.09003180920796763	0.006103653378090082	0.09003032043378993	0.0011000023851115413	819746	0.5952730174258489	0.0038944373236625774	3.054900874439543e-49	beta~GIANT
giant	12	0.00942088374941566	0.0034831542174361234	0.009421613470067735	0.0011044386600333792	819746	0.09381001134235616	0.0040632748218137615	0.006836630547826857	beta~GIANT
giant	13	-0.004874696474903572	0.003677867137362113	-0.004872742850886763	0.0011044745696927425	819746	-0.004971546780125685	0.004092489449008359	0.185033886825928	beta~GIANT
giant	14	0.010530647928732643	0.004334398871235254	0.010529220638376548	0.0011044264561128167	819746	0.056219781744470454	0.004060998102852815	0.015117491520212505	beta~GIANT
giant	15	0.009619457379153927	0.0043829738569974635	0.009616913652269857	0.0011044366065719178	819746	0.01717334788183872	0.004062867534976702	0.028182755796490003	beta~GIANT
giant	16	-0.005616300999081259	0.0036087351691856165	-0.005616416870457764	0.0011044702618465178	819746	0.031624659441244256	0.004093999313344342	0.11963502904073825	beta~GIANT
giant	17	0.0029205447166376747	0.004583083775038268	0.002918219954444037	0.0011044829791172653	819746	0.1620817250861921	0.004076584952246811	0.5239656259151082	beta~GIANT
giant	18	0.011171936483153275	0.005503296493717896	0.011170580798646808	0.0011044187698681178	819746	0.18723127545205412	0.004059681895483585	0.04235202162522895	beta~GIANT
giant	19	8.258576638938373e-4	0.004293867190844699	8.26726609870769e-4	0.0011044873045941155	819746	-0.10131368562961576	0.004080864796525121	0.8474804028581163	beta~GIANT
giant	20	-0.008262036294162832	0.005062962855010458	-0.008262013523374767	0.0011044499847531204	819746	0.11107786784367436	0.004099381347937423	0.10270940958282164	beta~GIANT
ukb_neale1	1	-0.0011134649337759203	0.006014855493605991	-0.0011174903000031827	0.0011044553309018832	819793	0.09031859543531617	0.004084823204038318	0.85313558200313655	beta~UKB
ukb_neale1	2	-0.0022719833726825315	0.006075334035858212	-0.0022750006045249515	0.0011044531623856046	819793	-0.030177949781147063	0.004087186060426064	0.7084277744624036	beta~UKB
ukb_neale1	3	0.0022184307824028937	0.005007240383341472	0.0022200066357735628	0.001104453298895768	819793	-0.005380162002207421	0.004078020005084005	0.657733479731887	beta~UKB
ukb_neale1	4	4.2154899132587674e-4	0.006947858159335072	4.2050058533612563e-4	0.001104455922870546	819793	0.4193477035055121	0.004081690359399837	0.9516194523049765	beta~UKB
ukb_neale1	5	-0.001927332035082243	0.0035134963017301713	-0.0019255108287730867	0.0011044539730778933	819793	-0.028582761574799304	0.004086483269524271	0.5833135961762324	beta~UKB
ukb_neale1	6	-5.503730508819651e-4	0.005103402458753075	-5.519899812630367e-4	0.0011044558522559287	819793	-0.05006743420460848	0.004083674256193278	0.9141191726988637	beta~UKB
ukb_neale1	7	6.968971498781553e-4	0.005285835688888476	6.960563012380162e-4	0.0011044557529645204	819793	0.01901912557433461	0.004081128140730869	0.895108965867394	beta~UKB
ukb_neale1	8	0.004862839945505587	0.005877535560520255	0.004864721509285146	0.001104442951678136	819793	-0.09861099503208864	0.004072612454757813	0.40803284052156125	beta~UKB
ukb_neale1	9	-0.00743761675506121	0.00530571154895317	-0.007437360077420992	0.0011044254739739062	819793	0.19133602965710378	0.004097705046991478	0.16097102044206169	beta~UKB
ukb_neale1	10	0.0029019860613777038	0.004327969034336101	0.0029008532028108915	0.0011044513735354305	819793	-0.0428287588553969	0.00407662289083953	0.502526911340418	beta~UKB
ukb_neale1	11	-0.006603457615093139	0.006002623990726777	-0.00660337275630262	0.0011044319406096049	819793	0.5952645061757803	0.004096008244177425	0.27129066130460316	beta~UKB
ukb_neale1	12	-0.00676971401392411	0.004570277932864906	-0.006769872028955739	0.001104430710971603	819793	0.09381343512493806	0.004096346490315204	0.13854055986939717	beta~UKB
